year,fires,acres,acres_millions
2000,7622,295026,0.295
2001,9458,329126,0.329
2002,8328,969890,0.970
2003,9116,1020460,1.020
2004,8415,264988,0.265
2005,7162,222538,0.223
2006,8202,736022,0.736
2007,9093,1520362,1.520
2008,6255,1593690,1.594
2009,9159,422147,0.422
2010,6554,109529,0.110
2011,7989,168545,0.169
2012,7950,869599,0.870
2013,9907,601635,0.602
2014,7865,625540,0.626
2015,8745,893362,0.893
2016,6986,669534,0.670
2017,9560,1548429,1.548
2018,8527,1975086,1.975
2019,7860,259823,0.260
2020,9639,4397809,4.398
2021,8835,2568948,2.569
2022,7490,362455,0.362
2023,7127,324917,0.325
2024,8024,1050012,1.050
2025,8036,525223,0.525
