year,structures,definition,note
2013,495,destroyed,
2014,650,destroyed,
2015,3159,damaged or destroyed,
2016,1161,destroyed,Six major fires only (CalOES After Action Report); statewide total slightly higher
2017,10280,destroyed,
2018,24226,destroyed or damaged,
2019,703,destroyed,
2020,11116,destroyed,CAL FIRE figure; NIFC reports 9211
2021,3846,destroyed,
2022,772,destroyed,104 additional damaged
2023,58,destroyed,13 additional damaged
2024,1837,destroyed,432 additional damaged
2025,16512,destroyed,Preliminary; Eaton (9418) + Palisades (6837) account for 16255
