cum_zip_share_poor_to_rich,cum_exposure_share,cum_penetration_share
0.0,0.0,0.0
0.01,0.0009,0.0226
0.02,0.0025,0.0432
0.03,0.0042,0.0725
0.04,0.0055,0.0883
0.05,0.007,0.1064
0.06,0.0095,0.129
0.07,0.0123,0.1427
0.08,0.016,0.1624
0.09,0.0187,0.1787
0.1,0.0213,0.1984
0.11,0.0236,0.2154
0.12,0.0295,0.2246
0.13,0.0334,0.2343
0.14,0.0371,0.2499
0.15,0.0392,0.2583
0.16,0.0426,0.2732
0.17,0.0444,0.2858
0.18,0.0511,0.2921
0.19,0.0594,0.3074
0.2,0.0686,0.33
0.21,0.0709,0.3357
0.22,0.0794,0.352
0.23,0.0845,0.37
0.24,0.087,0.3752
0.25,0.0927,0.3861
0.26,0.098,0.3925
0.27,0.1013,0.4066
0.28,0.1077,0.4175
0.29,0.1141,0.4385
0.3,0.1188,0.4487
0.31,0.1283,0.4589
0.32,0.133,0.4646
0.33,0.1378,0.4824
0.34,0.1465,0.4861
0.35,0.1584,0.5002
0.36,0.1642,0.5128
0.37,0.1721,0.5286
0.38,0.1783,0.5321
0.39,0.1849,0.5519
0.4,0.1944,0.5651
0.41,0.2086,0.5725
0.42,0.2172,0.5811
0.43,0.2265,0.5914
0.44,0.245,0.5985
0.45,0.248,0.6082
0.46,0.2553,0.623
0.47,0.2746,0.6279
0.48,0.2871,0.6361
0.49,0.2909,0.6423
0.5,0.296,0.6503
0.51,0.3148,0.6582
0.52,0.3315,0.6654
0.53,0.3424,0.6708
0.54,0.3566,0.6834
0.55,0.3619,0.7144
0.56,0.3714,0.7208
0.57,0.3824,0.7271
0.58,0.3948,0.7328
0.59,0.4026,0.7357
0.6,0.4095,0.7445
0.61,0.4154,0.7468
0.62,0.4206,0.7525
0.63,0.4354,0.7549
0.64,0.4551,0.7599
0.65,0.4676,0.7656
0.66,0.4764,0.7705
0.67,0.4832,0.7772
0.68,0.4928,0.7888
0.69,0.5016,0.8018
0.7,0.514,0.8077
0.71,0.5259,0.8172
0.72,0.5354,0.8254
0.73,0.5423,0.8306
0.74,0.5529,0.8366
0.75,0.5729,0.8407
0.76,0.5842,0.8519
0.77,0.6024,0.8541
0.78,0.6175,0.8563
0.79,0.6295,0.8629
0.8,0.6392,0.8649
0.81,0.6539,0.8738
0.82,0.6617,0.8795
0.83,0.6753,0.89
0.84,0.7008,0.8943
0.85,0.7152,0.8959
0.86,0.7346,0.9099
0.87,0.7452,0.9142
0.88,0.7618,0.9219
0.89,0.7805,0.9271
0.9,0.7979,0.93
0.91,0.808,0.933
0.92,0.8188,0.9371
0.93,0.8323,0.9445
0.94,0.8584,0.9507
0.95,0.8866,0.9623
0.96,0.8993,0.965
0.97,0.9214,0.9742
0.98,0.9611,0.9893
0.99,0.9696,0.9946
1.0,1.0,1.0
