zip,median_home_value_acs,zhvi,median_hh_income
90001,513166.5437627208,593881.1942944229,60269.05289339766
90002,510233.7716673784,594950.6855428707,57164.63797246637
90003,542705.8332045665,607194.401805317,55505.7038932044
90004,1459948.3170847818,1450674.51456163,70009.63178651681
90005,1058900.527510119,894444.8325248426,56256.83345297561
90006,891769.9954994863,757348.2180237757,50758.75718384844
90007,850732.5916787001,900870.502815485,40530.04193380976
90008,962302.0226360935,1078515.997195123,65503.0690112766
90011,568298.1338667852,602357.175498667,53202.318056425334
90012,744029.478048878,602362.4474063222,65121.72277695858
90013,725187.8950869602,604553.1410822031,51383.85183123952
90014,661057.7832697493,541981.2563588558,45526.146706913416
90015,948149.7688553638,615078.2061700613,68606.36719540616
90016,964629.620507576,944420.1629104835,76123.07590770957
90017,681556.7236733045,581628.8969874367,57281.675979620486
90018,908772.8373363226,841708.1967844344,62868.16187431
90019,1266592.8671761127,1243555.1057513943,75244.32281580601
90020,936433.678697904,687696.7248023074,58211.47530273875
90021,888038.8606168941,877344.2686522087,75896.84474400055
90022,601562.8272156243,682109.1843873914,69342.74294253989
90023,619896.5410738951,642944.4837710821,57812.25359103107
90024,1566381.8435119255,1357573.511635893,91060.66684600252
90025,1091997.1723234951,1083425.319291659,110812.5466134249
90026,1165988.371478972,1188465.066844561,90252.7313215014
90027,1666397.86394739,1817875.057973296,101407.42387761832
90028,1303956.9241042926,868060.8515932577,60121.28677413433
90029,1152907.446844675,978884.3112063708,65530.85971256912
90031,778396.8823099385,814520.7026749732,68067.65968699801
90032,777168.0006428818,808918.4820855893,82783.91254924319
90033,675336.2505136102,667752.7661739787,55336.37794731605
90034,1388913.3580860563,1454104.840202814,107175.38533707806
90035,1745309.8742274037,1630644.1715855636,116316.22411069964
90036,1833788.9493042072,1867462.566632517,112445.3704078437
90037,636898.3277268318,667930.7622412378,58350.64725573862
90038,1299514.4434340848,1049685.3955435564,63709.269916927966
90039,1366432.357477208,1379946.4095703575,108319.62435749032
90040,569511.5905796558,699448.4335656655,69834.10734093914
90041,1156271.3400018956,1293432.4977848905,116479.5107421246
90042,939301.8982001544,1015295.7485113275,99539.8303851881
90043,879933.6029694629,833114.2875552451,71039.46010357342
90044,580403.0267097155,649172.5472427184,52857.45299522115
90045,1355494.19569649,1517996.7417370032,139932.5187127077
90046,1555104.629581021,1478057.8400677198,103516.11071001568
90047,652427.5500206557,692851.3746488261,68598.71113950803
90048,1684665.467650804,1784377.701800572,105585.16312208609
90049,1796767.544332389,3032602.3732106052,178655.89101986392
90056,1399538.6261288126,1686475.2717932996,131302.63748623405
90057,697627.6895213778,562661.0855993574,45806.701754965194
90058,580698.5838315119,590746.0666382097,51603.115354886395
90059,554124.9710999622,616395.7744430095,53976.52243349519
90061,578725.58462263,639490.7664406558,70064.26692036855
90062,690842.6783025523,698204.2751559807,67685.99601557301
90063,620181.6844135781,675448.3635551207,72216.30412195805
90064,1679038.2798851484,1875786.3157424545,135486.92992077817
90065,1031431.3697267892,1115368.4801663847,95746.5922691107
90066,1600178.9942775208,1740801.303636219,111636.34466071354
90067,1590674.1277323393,1601314.7632482678,135823.99444931943
90068,1788586.792018465,1659929.8870592883,116763.7248687979
90069,1310401.9528535963,1260111.418701473,117052.34030680082
90077,1991198.609681644,3107221.896957423,207904.13404123767
90094,1272489.0423118076,1370162.6219646356,168333.82581050182
90201,564448.0510563658,692520.4727701754,56675.208017559235
90210,1973139.845319197,5242255.079812688,204679.22050164847
90211,1920336.994113238,2234114.440343088,111344.62763866255
90212,2000001.0,2451533.5068589374,120228.7359288792
90220,502801.810402013,640525.1458700047,77568.68504993469
90221,536909.6643293552,643541.5316535407,68534.51719856627
90222,538754.5541806599,620595.8539288269,72807.97911391876
90230,1044813.1925288464,1098761.019979616,114095.20475899888
90232,1388792.1609180707,1775091.6725881975,130750.56324757267
90240,798214.4315814585,946321.726343533,111814.41838135265
90241,751088.6406210574,932177.85202537,84168.60437997387
90242,676966.5559237628,826677.7283589389,85272.34942953436
90245,1410113.616880976,1753335.4322369625,146716.63171929825
90247,646587.4006403595,756470.1791030584,75069.22879213761
90248,664301.4375104725,818331.2539100527,94212.79510463668
