Metric,fiscal_year,value_pct
Loss & LAE ratio (losses+LAE / NPE),FY2022,19.0
Expense ratio (other UW exp / NPE),FY2022,21.8
Combined ratio,FY2022,40.8
Net margin (net income / NPE),FY2022,59.5
Loss & LAE ratio (losses+LAE / NPE),FY2023,24.9
Expense ratio (other UW exp / NPE),FY2023,23.8
Combined ratio,FY2023,48.7
Net margin (net income / NPE),FY2023,55.7
Loss & LAE ratio (losses+LAE / NPE),FY2024,37.7
Expense ratio (other UW exp / NPE),FY2024,26.5
Combined ratio,FY2024,64.2
Net margin (net income / NPE),FY2024,42.9
Loss & LAE ratio (losses+LAE / NPE),FY2025,300.5
Expense ratio (other UW exp / NPE),FY2025,33.0
Combined ratio,FY2025,333.5
Net margin (net income / NPE),FY2025,-226.4
