income_decile,n_zips,exposure,mean_penetration,median_income,exposure_share_pct
1,168,13520924230.0,0.1311,48278.14292446526,2.1
2,167,30748869688.0,0.1396,60000.0,4.77
3,167,32330121893.0,0.1277,68873.25030023161,5.01
4,167,48400581201.0,0.1229,76750.10351744037,7.5
5,167,65628182698.0,0.1056,86022.01534518716,10.17
6,167,72730087629.0,0.1098,95119.0,11.27
7,167,67381220803.0,0.0537,105275.0344405622,10.45
8,167,81392759327.0,0.057,118877.3011659751,12.62
9,167,102347765968.0,0.0437,137400.0705240547,15.87
10,167,130586395922.0,0.0416,185213.401974581,20.24
