county,median_income,fair_penetration,fair_exposure_millions,nonrenew_rate,fips,name
Los Angeles,95412.0,0.0491,69297.4,0.0845,06037,Los Angeles
San Bernardino,88010.0,0.0779,26678.0,0.1073,06071,San Bernardino
San Diego,110849.0,0.0322,21577.9,0.0875,06073,San Diego
Nevada,90018.0,0.3856,16522.3,0.1719,06057,Nevada
El Dorado,112986.0,0.2518,15776.2,0.1202,06017,El Dorado
Placer,120553.0,0.0844,12753.1,0.0863,06061,Placer
Riverside,94578.0,0.027,12588.0,0.1101,06065,Riverside
Tuolumne,73487.0,0.4967,7985.9,0.1813,06109,Tuolumne
Orange,121499.0,0.0101,7651.4,0.0816,06059,Orange
Calaveras,79537.0,0.3604,6320.3,0.1434,06009,Calaveras
Ventura,114827.0,0.022,5450.6,0.0809,06111,Ventura
Santa Barbara,104782.0,0.0332,5424.9,0.0771,06083,Santa Barbara
Sonoma,107497.0,0.0257,4532.7,0.073,06097,Sonoma
Santa Cruz,114087.0,0.0579,4370.9,0.0697,06087,Santa Cruz
Monterey,100248.0,0.034,3903.6,0.0691,06053,Monterey
Butte,73925.0,0.1016,3899.5,0.136,06007,Butte
Alameda,136326.0,0.0095,3824.7,0.0722,06001,Alameda
Amador,82952.0,0.3103,3375.3,0.1321,06005,Amador
Napa,111773.0,0.0431,2623.3,0.0759,06055,Napa
Fresno,77498.0,0.016,2584.9,0.0864,06019,Fresno
Kern,74139.0,0.0248,2581.9,0.0996,06029,Kern
Contra Costa,136749.0,0.0065,2545.9,0.0739,06013,Contra Costa
Madera,77486.0,0.0912,2517.6,0.0857,06039,Madera
Santa Clara,166618.0,0.0046,2459.5,0.0713,06085,Santa Clara
Shasta,74499.0,0.064,2364.8,0.133,06089,Shasta
Marin,153516.0,0.0234,2160.9,0.0597,06041,Marin
Lake,64392.0,0.1385,2135.9,0.1444,06033,Lake
Mendocino,67690.0,0.099,2022.4,0.0978,06045,Mendocino
San Luis Obispo,95720.0,0.0191,1652.2,0.0748,06079,San Luis Obispo
San Mateo,167134.0,0.0071,1612.9,0.0635,06081,San Mateo
Mariposa,64164.0,0.4196,1582.1,0.1061,06043,Mariposa
Plumas,70271.0,0.2113,1384.9,0.1434,06063,Plumas
Lassen,71235.0,0.1179,951.4,0.1246,06035,Lassen
Tulare,71279.0,0.0168,932.6,0.0834,06107,Tulare
Humboldt,63282.0,0.0368,896.7,0.0781,06023,Humboldt
Mono,90664.0,0.1634,768.9,0.0889,06051,Mono
Siskiyou,58094.0,0.0801,732.5,0.0921,06093,Siskiyou
Yuba,75964.0,0.0546,702.7,0.099,06115,Yuba
Trinity,57721.0,0.2207,533.7,0.1229,06105,Trinity
San Francisco,148375.0,0.0029,442.6,0.0576,06075,San Francisco
Solano,104287.0,0.0024,307.3,0.0744,06095,Solano
Tehama,65137.0,0.0382,305.3,0.1149,06103,Tehama
Stanislaus,82401.0,0.0029,264.7,0.0827,06099,Stanislaus
Sacramento,93829.0,0.0011,260.3,0.0845,06067,Sacramento
Sierra,60000.0,0.2498,249.0,0.1181,06091,Sierra
San Joaquin,95013.0,0.0024,197.6,0.0897,06077,San Joaquin
San Benito,110473.0,0.0084,144.5,0.0734,06069,San Benito
Alpine,110781.0,0.2605,134.0,0.1205,06003,Alpine
Del Norte,69932.0,0.0291,100.1,0.0832,06015,Del Norte
Imperial,66025.0,0.008,92.0,0.0821,06025,Imperial
Yolo,95200.0,0.0023,85.3,0.0717,06113,Yolo
Inyo,74327.0,0.013,62.1,0.0755,06027,Inyo
Merced,67755.0,0.0014,59.3,0.0799,06047,Merced
Modoc,55413.0,0.0302,42.1,0.0895,06049,Modoc
Colusa,72642.0,0.0075,25.3,0.0693,06011,Colusa
Kings,72057.0,0.0016,24.4,0.0863,06031,Kings
Glenn,72261.0,0.0039,19.1,0.0769,06021,Glenn
Sutter,79038.0,0.0007,13.6,0.0792,06101,Sutter
