zip,county,fair_penetration,residential_tiv,median_hh_income,income_decile,fair_risk_score,pif,avg_annual_premium,nonrenew_rate,pif_per_owner_unit,exposure_millions
76132,,,0.0,,,,0,,,,0.0
90001,06037,0.2146836696793364,928729110.0,60269.05289339766,2,1.0,1976,306.0,0.1028,0.4284,928.72911
90002,06037,0.15114093959731545,732264694.0,57164.63797246637,2,1.0,1367,351.0,0.1166,0.2651,732.264694
90003,06037,0.16296218266090803,1056105082.0,55505.7038932044,2,1.0,1961,389.0,0.1052,0.3805,1056.105082
90004,06037,0.07045951859956236,442461127.0,70009.63178651681,3,1.0141176470588236,417,1243.0,0.0946,0.1161,442.461127
90005,06037,0.07068607068607069,149980133.0,56256.83345297561,2,1.0,130,1069.0,0.0793,0.0831,149.980133
90006,06037,0.1833937928254736,468562551.0,50758.75718384844,1,1.0,606,682.0,0.0894,0.3385,468.562551
90007,06037,0.15069049553208774,351155410.0,40530.04193380976,1,1.0,444,598.0,0.0921,0.3418,351.15541
90008,06037,0.03911497431845121,261472581.0,65503.0690112766,3,1.0,284,672.0,0.0809,0.0628,261.472581
90011,06037,0.2091003820771101,1495498192.0,53202.318056425334,1,1.0,2836,387.0,0.0973,0.46,1495.498192
90012,06037,0.09024390243902439,58948592.0,65121.72277695858,3,1.2037037037037037,102,1035.0,0.0936,0.0919,58.948592
90013,06037,0.04310344827586207,2629948.0,51383.851831239524,1,1.0,12,145.0,0.075,0.0183,2.629948
90014,06037,0.0,1879315.0,45526.146706913416,1,1.0,6,216.0,0.1692,0.0208,1.879315
90015,06037,0.1638655462184874,66089893.0,68606.36719540616,3,1.0,98,506.0,0.1036,0.0698,66.089893
90016,06037,0.07576363878884887,457688581.0,76123.07590770957,4,1.0,684,476.0,0.0848,0.1113,457.688581
90017,06037,0.0784313725490196,13606000.0,57281.675979620486,2,1.0,21,625.0,0.1506,0.0268,13.606
90018,06037,0.12692088787706318,742247692.0,62868.16187431,2,1.0,1086,495.0,0.0843,0.2168,742.247692
90019,06037,0.06814903846153846,808348306.0,75244.32281580601,4,1.0,789,859.0,0.0853,0.1305,808.348306
90020,06037,0.0348993288590604,70516524.0,58211.47530273875,2,1.0,63,1181.0,0.0829,0.0457,70.516524
90021,06037,0.21311475409836064,6101518.0,75896.84474400055,4,1.0,12,507.0,0.0588,0.0418,6.101518
90022,06037,0.1023264793899025,682594726.0,69342.74294253989,3,1.0,1341,326.0,0.0982,0.2279,682.594726
90023,06037,0.18188165473904697,541357088.0,57812.253591031076,2,1.0,1191,322.0,0.096,0.3768,541.357088
90024,06037,0.012807881773399015,195075461.0,91060.66684600252,6,1.0,171,3094.0,0.0863,0.0311,195.075461
90025,06037,0.012974051896207584,59807801.0,110812.5466134249,7,1.0,95,1581.0,0.0809,0.0178,59.807801
90026,06037,0.07846285591950332,624550606.0,90252.73132150139,5,1.0,926,1089.0,0.0874,0.1365,624.550606
90027,06037,0.05049594229035167,686712053.0,101407.42387761832,7,1.2670682730923695,483,3717.0,0.0763,0.1087,686.712053
90028,06037,0.043824701195219126,56555118.0,60121.28677413433,2,1.0,70,1464.0,0.1011,0.0933,56.555118
90029,06037,0.09562398703403566,216162332.0,65530.85971256912,3,1.0034602076124568,299,1052.0,0.1054,0.1844,216.162332
90031,06037,0.129278951201748,496795549.0,68067.65968699801,3,1.0,876,722.0,0.0774,0.2271,496.795549
90032,06037,0.07246909046394907,441593590.0,82783.91254924319,5,1.0,764,654.0,0.0776,0.1094,441.59359
90033,06037,0.1582931865106676,386321793.0,55336.37794731605,2,1.0,764,380.0,0.0871,0.3094,386.321793
90034,06037,0.0169137210186241,116183979.0,107175.38533707806,7,1.0,137,1166.0,0.0746,0.026,116.183979
90035,06037,0.012152372049544287,184218138.0,116316.22411069964,8,1.0,137,1753.0,0.0728,0.0387,184.218138
90036,06037,0.021353300055463115,268218215.0,112445.3704078437,8,1.0,164,1739.0,0.0961,0.0478,268.218215
90037,06037,0.1890201528839472,975617631.0,58350.64725573862,2,1.0,1588,452.0,0.1029,0.3827,975.617631
90038,06037,0.06404565630944832,107716624.0,63709.269916927966,2,1.006896551724138,143,1108.0,0.0967,0.1233,107.716624
90039,06037,0.04304635761589404,325105613.0,108319.62435749032,7,1.0135135135135136,433,1275.0,0.0743,0.0824,325.105613
