year,naic,group,company,dwelling,commercial,bop
2024,25151,176,State Farm Gen Ins Co,0.1679738,0.0928699,0.0780713
2024,15539,1278,CSAA Ins Exch,0.0658296,0.0,0.0
2024,15598,1318,Interins Exch Of The Automobile Club,0.0502307,0.0,0.0
2024,38342,660,California Automobile Ins Co,0.0499506,0.0,0.0
2024,21660,69,Fire Ins Exch,0.0431227,0.051108,0.0465802
2024,19232,8,Allstate Ins Co,0.038143,0.0144403,0.0122806
2024,19070,3548,Standard Fire Ins Co,0.0338643,0.0,2.6e-06
2024,23787,140,Nationwide Mut Ins Co,0.0254788,0.0185929,0.0201074
2024,25941,200,United Serv Automobile Assn,0.0236696,0.0,0.0
2024,21652,69,Farmers Ins Exch,0.0232096,0.0596159,0.0732487
2024,24740,111,Safeco Ins Co Of Amer,0.0230018,0.000962,0.0010779
2024,24732,111,General Ins Co Of Amer,0.0227594,0.0,3.4e-06
2024,25968,200,USAA Cas Ins Co,0.0211432,0.0,0.0
2024,42404,111,Liberty Ins Corp,0.0208221,0.0,0.0
2024,11185,69,Foremost Ins Co Grand Rapids MI,0.0185687,0.0,0.0
2024,37850,2898,Pacific Specialty Ins Co,0.0178391,0.0,0.0
2024,21687,69,Mid Century Ins Co,0.0168873,0.0126817,0.0174569
2024,21482,65,Factory Mut Ins Co,0.0152697,0.0,0.0
2024,16535,212,Zurich Amer Ins Co,0.0123348,0.0052846,0.0062006
2024,29068,473,American Family Connect Prop & Cas I,0.009268,0.0,0.0
2024,25674,3548,Travelers Prop Cas Co Of Amer,0.0088794,0.0423946,0.028652
2024,42978,19,American Security Ins Co,0.0087987,0.0,0.0
2024,20281,626,Federal Ins Co,0.0082976,0.037786,0.033884
2024,18600,200,USAA Gen Ind Co,0.0081846,0.0,0.0
2024,25180,4869,Stillwater Ins Co,0.008148,0.0014629,0.0015084
2024,11005,473,Homesite Ins Co Of CA,0.0078861,0.0,0.0
2024,24376,5010,Spinnaker Ins Co,0.0075183,0.0004829,0.0008273
2024,10921,1278,CSAA Fire & Cas Ins Co,0.0071608,0.0,0.0
2024,42722,361,American Modern Prop & Cas Ins Co,0.0071284,0.0,0.0
2024,16023,5032,Lemonade Ins Co,0.0071239,0.0,0.0
2024,13927,473,Homesite Ins Co Of The Midwest,0.007029,0.0,0.0
2024,10014,65,Affiliated Fm Ins Co,0.0069971,0.0,2e-07
2024,35300,761,Allianz Global Risks US Ins Co,0.0065857,0.0,0.0
2024,39012,111,Safeco Ins Co Of IL,0.0064589,0.0,0.0
2024,12873,3098,Privilege Underwriters Recp Exch,0.0064179,0.0,0.0
2024,29742,8,Integon Natl Ins Co,0.0064044,0.0066956,0.0044053
2024,14042,155,ASI Select Ins Corp,0.0057365,0.0,0.0
2024,21253,200,Garrison Prop & Cas Ins Co,0.0056461,0.0,0.0
2024,13544,280,California Capital Ins Co,0.0056206,0.0276592,0.0288013
2024,24724,111,First Natl Ins Co Of Amer,0.0055581,0.0,0.0
2024,34690,91,Property & Cas Ins Co Of Hartford,0.0052807,0.0,8.9e-06
2024,20117,33,California Cas Ind Exch,0.005051,0.0,0.0
2024,18279,626,Bankers Standard Ins Co,0.0049441,0.0,0.0
2024,10111,19,American Bankers Ins Co Of FL,0.0049041,0.0,0.0
2024,42390,31,Amguard Ins Co,0.0048271,0.0175869,0.0230166
2024,28401,408,American Natl Prop & Cas Co,0.0045898,0.001712,0.0012284
2024,19976,28,Amica Mut Ins Co,0.00456,0.0,0.0
2024,11126,3219,Sompo Amer Ins Co,0.0044753,0.0006088,0.0009842
2024,25798,4968,Sutton National Ins Co,0.0044113,0.0,0.0
2024,18953,323,CSE Safeguard Ins Co,0.0040874,0.0,0.0
2024,19380,12,American Home Assur Co,0.0039967,2.89e-05,5.16e-05
2024,39217,796,QBE Ins Corp,0.003971,0.0005986,0.0006179
2024,10759,71,Universal N Amer Ins Co,0.0039634,0.0,0.0
2024,15776,800,Residence Mut Ins Co,0.003889,0.0,0.0
2024,23035,111,Liberty Mut Fire Ins Co,0.0036258,0.0011961,0.0008024
2024,10914,215,Kemper Independence Ins Co,0.0033995,0.0,0.0
2024,24554,968,XL Ins Amer Inc,0.0032616,0.0,1.44e-05
2024,25321,69,Farmers Direct Prop & Cas Ins Co,0.0032062,0.0,0.0
2024,10683,0,Wawanesa Gen Ins Co,0.0031495,0.0,0.0
2024,10945,3098,Tokio Marine Amer Ins Co,0.0030633,0.0011932,0.0016362
2024,18961,140,Crestbrook Ins Co,0.0030518,0.0017023,0.0011024
2024,10677,244,The Cincinnati Ins Co,0.0030481,0.000207,0.0003078
2024,21458,111,Employers Ins Co of Wausau,0.0029166,0.0,0.0
2024,10358,8,Encompass Ins Co,0.0027272,0.0,0.0
2024,23043,111,Liberty Mut Ins Co,0.0026305,0.0005301,0.0003091
2024,10004,313,Seaview Ins Co,0.0023425,0.0,0.0
2024,27120,91,Trumbull Ins Co,0.0022108,0.0,2.32e-05
2024,19100,140,Amco Ins Co,0.0021202,0.0307927,0.0354423
2024,26247,212,American Guar & Liab Ins,0.0020922,0.0012766,0.0019031
2024,16578,4869,Stillwater Prop & Cas Ins Co,0.0020803,0.0,0.0
2024,29700,181,Swiss Re Corp Solutions Elite Ins Co,0.0020209,9.97e-05,6.91e-05
2024,19682,91,Hartford Fire Ins Co,0.0019974,0.0133509,0.0128994
2024,12502,4672,DB Ins Co Ltd (US Branch),0.0017552,0.0,0.0043747
2024,10317,69,Neighborhood Spirit Prop & Cas Co,0.0017326,0.0,0.0
2024,10693,323,Civil Serv Employees Ins Co,0.0017312,0.0,0.0
2024,19402,12,AIG Prop Cas Co,0.0015918,0.0,0.0
2024,22578,300,Horace Mann Ins Co,0.0015039,0.0,0.0
2024,14907,645,Oregon Mut Ins Co,0.0014447,0.0058908,0.0047135
