hazard_bucket,income_decile,penetration,n_zips,pif
Low,1,0.0735,82,11414
Low,2,0.0605,98,24610
Low,3,0.0416,95,25808
Low,4,0.0318,94,19165
Low,5,0.0263,100,19509
Low,6,0.0277,99,20036
Low,7,0.0275,113,22780
Low,8,0.0267,103,21860
Low,9,0.027,99,22638
Low,10,0.0217,87,12994
Medium,1,0.1814,35,5157
Medium,2,0.0826,20,3770
Medium,3,0.109,15,5057
Medium,4,0.0669,22,5296
Medium,5,0.1693,20,14876
Medium,6,0.0985,29,21510
Medium,7,0.096,31,24690
Medium,8,0.0911,39,27432
Medium,9,0.084,43,26884
Medium,10,0.1061,62,43955
High,1,0.2777,44,8262
High,2,0.3925,46,19695
High,3,0.22,56,17761
High,4,0.3512,50,40696
High,5,0.3601,44,45533
High,6,0.4222,36,37438
High,7,0.2264,23,14289
High,8,0.2354,25,17597
High,9,0.2949,25,25981
High,10,0.2297,16,14448
