zip,county,total_nonrenew_rate_2021,insurer_nonrenew_rate_2019,fair_penetration_2023,exposure_millions,income_decile
90001,Los Angeles,0.0986,0.0302,0.2146836696793364,928.7,2
90002,Los Angeles,0.1127,0.0277,0.1511409395973154,732.3,2
90003,Los Angeles,0.1191,0.0298,0.162962182660908,1056.1,2
90004,Los Angeles,0.1169,0.0202,0.0704595185995623,442.5,3
90005,Los Angeles,0.1549,0.0296,0.0706860706860706,150.0,2
90006,Los Angeles,0.1448,0.0326,0.1833937928254736,468.6,1
90007,Los Angeles,0.1287,0.0291,0.1506904955320877,351.2,1
90008,Los Angeles,0.0907,0.0176,0.0391149743184512,261.5,3
90011,Los Angeles,0.1182,0.0323,0.2091003820771101,1495.5,1
90012,Los Angeles,0.1042,0.0102,0.0902439024390243,58.9,3
90013,Los Angeles,0.1942,0.0,0.043103448275862,2.6,1
90014,Los Angeles,0.2034,0.0196,0.0,1.9,1
90015,Los Angeles,0.1698,0.0291,0.1638655462184874,66.1,3
90016,Los Angeles,0.1052,0.0186,0.0757636387888488,457.7,4
90017,Los Angeles,0.1618,0.0578,0.0784313725490196,13.6,2
90018,Los Angeles,0.1032,0.0239,0.1269208878770631,742.2,2
90019,Los Angeles,0.115,0.0218,0.0681490384615384,808.3,4
90020,Los Angeles,0.1556,0.0152,0.0348993288590604,70.5,2
90021,Los Angeles,0.1507,0.0149,0.2131147540983606,6.1,4
90022,Los Angeles,0.0863,0.0196,0.1023264793899025,682.6,3
90023,Los Angeles,0.1004,0.0294,0.1818816547390469,541.4,2
90024,Los Angeles,0.1128,0.0175,0.012807881773399,195.1,6
90025,Los Angeles,0.1392,0.0172,0.0129740518962075,59.8,7
90026,Los Angeles,0.1087,0.0191,0.0784628559195033,624.6,5
90027,Los Angeles,0.1079,0.0212,0.0504959422903516,686.7,7
90028,Los Angeles,0.1816,0.0256,0.0438247011952191,56.6,2
90029,Los Angeles,0.1053,0.0197,0.0956239870340356,216.2,3
90031,Los Angeles,0.093,0.0185,0.129278951201748,496.8,3
90032,Los Angeles,0.0961,0.0226,0.072469090463949,441.6,5
90033,Los Angeles,0.1088,0.0285,0.1582931865106676,386.3,2
90034,Los Angeles,0.0978,0.0127,0.0169137210186241,116.2,7
90035,Los Angeles,0.1184,0.0145,0.0121523720495442,184.2,8
90036,Los Angeles,0.1218,0.019,0.0213533000554631,268.2,8
90037,Los Angeles,0.1172,0.0342,0.1890201528839472,975.6,2
90038,Los Angeles,0.1355,0.0297,0.0640456563094483,107.7,2
90039,Los Angeles,0.0983,0.0164,0.043046357615894,325.1,7
90040,Los Angeles,0.0906,0.0264,0.0712996389891696,94.4,3
90041,Los Angeles,0.0908,0.0129,0.0363088631679086,346.7,8
90042,Los Angeles,0.0958,0.0168,0.0722118959107806,667.5,7
90043,Los Angeles,0.0839,0.0207,0.0560747663551401,593.3,3
90044,Los Angeles,0.1019,0.0321,0.1240689353001314,1236.5,1
90045,Los Angeles,0.0848,0.0129,0.0032530904359141,80.5,9
90046,Los Angeles,0.1479,0.0353,0.3103341584158416,3575.5,7
90047,Los Angeles,0.0885,0.0255,0.0643227478937135,736.1,3
90048,Los Angeles,0.1278,0.0179,0.0170002741979709,236.3,7
90049,Los Angeles,0.1199,0.0408,0.1467406004868812,4840.0,10
90056,Los Angeles,0.0862,0.0171,0.0072033898305084,75.5,9
90057,Los Angeles,0.142,0.0352,0.1505154639175257,47.3,1
90058,Los Angeles,0.0916,0.0312,0.2865853658536585,21.6,1
90059,Los Angeles,0.1061,0.0304,0.1060724933312411,451.0,1
90061,Los Angeles,0.1009,0.0273,0.106423323062337,285.1,3
90062,Los Angeles,0.1052,0.0291,0.135275405993638,605.8,3
90063,Los Angeles,0.1127,0.026,0.1582391433670434,772.4,3
90064,Los Angeles,0.0932,0.0143,0.0069326760129409,111.8,9
90065,Los Angeles,0.0901,0.0233,0.0754604280736685,821.3,6
90066,Los Angeles,0.0979,0.0133,0.0061913696060037,141.5,7
90067,Los Angeles,0.1598,0.0284,0.0132450331125827,10.7,9
90068,Los Angeles,0.1246,0.0394,0.2017631403858948,2587.5,8
90069,Los Angeles,0.1635,0.0328,0.0974990938745922,824.6,8
90077,Los Angeles,0.1794,0.0636,0.5053661616161617,4308.3,10
90094,Los Angeles,0.1809,0.0106,0.003683241252302,12.8,10
90201,Los Angeles,0.0803,0.0143,0.0804062632247143,759.3,2
90210,Los Angeles,0.152,0.0469,0.3506042046018871,5995.7,10
90211,Los Angeles,0.1187,0.0183,0.0273651290070367,152.4,7
90212,Los Angeles,0.1059,0.0164,0.0170749814402375,91.5,8
90220,Los Angeles,0.094,0.0275,0.0651157734536362,466.6,4
90221,Los Angeles,0.0794,0.0234,0.092658852560148,556.0,3
90222,Los Angeles,0.1017,0.0266,0.1033278176135319,323.4,4
90230,Los Angeles,0.0896,0.0108,0.0100652376514445,66.6,8
90232,Los Angeles,0.0915,0.0144,0.0119777972538708,38.8,9
90240,Los Angeles,0.0899,0.0159,0.0183564933950934,183.1,8
90241,Los Angeles,0.0879,0.0143,0.0159595690916345,179.6,5
90242,Los Angeles,0.0875,0.0122,0.0202060752040679,185.8,5
90245,Los Angeles,0.0801,0.0067,0.0011544011544011,33.2,9
90247,Los Angeles,0.0954,0.017,0.0268580360949268,179.4,4
90248,Los Angeles,0.0909,0.0202,0.018234562784915,36.7,6
90249,Los Angeles,0.08,0.0155,0.0126199786704585,76.0,5
90250,Los Angeles,0.0802,0.0129,0.0229213137450965,269.3,5
90254,Los Angeles,0.0921,0.0103,0.0031930879038317,83.2,10
90255,Los Angeles,0.0765,0.0179,0.1101797728024705,773.1,2
90260,Los Angeles,0.0868,0.0126,0.0198170731707317,112.4,5
90262,Los Angeles,0.0843,0.0193,0.0822427917863602,601.7,4
90265,Los Angeles,0.1347,0.0405,0.3647502356267672,5080.9,10
90266,Los Angeles,0.0916,0.0101,0.0028464685998932,170.9,10
90270,Los Angeles,0.0748,0.0165,0.0967007963594994,217.4,2
90272,Los Angeles,0.1238,0.0345,0.1090575620767494,3425.2,10
90274,Los Angeles,0.0899,0.0127,0.0087749682484701,533.0,10
90275,Los Angeles,0.091,0.0127,0.0053195650473284,648.5,10
90277,Los Angeles,0.0858,0.0083,0.0058384249830278,82.7,9
90278,Los Angeles,0.0859,0.0095,0.0035994071564683,108.9,10
90280,Los Angeles,0.0822,0.0138,0.0680645809606752,899.1,3
90290,Los Angeles,0.1667,0.0619,0.8085822465292385,2804.8,9
90291,Los Angeles,0.109,0.0172,0.0183593180824712,165.2,8
90292,Los Angeles,0.1406,0.0178,0.0075966850828729,82.6,9
90293,Los Angeles,0.1066,0.0147,0.0063805104408352,65.2,9
90301,Los Angeles,0.0748,0.0158,0.0611650485436893,166.9,2
90302,Los Angeles,0.094,0.0236,0.0605889014722536,162.5,3
90303,Los Angeles,0.0847,0.0184,0.045538178472861,193.3,3
90304,Los Angeles,0.0717,0.0151,0.0801711840228245,166.9,3
90305,Los Angeles,0.0868,0.0201,0.0255788906838987,124.3,6
90401,Los Angeles,0.2672,0.0293,0.01875,10.7,7
90402,Los Angeles,0.1105,0.0189,0.012037037037037,339.2,10
90403,Los Angeles,0.0948,0.0145,0.0137211855104281,91.4,8
90404,Los Angeles,0.0973,0.0167,0.0188205771643663,45.5,5
90405,Los Angeles,0.0948,0.0096,0.0120686004658056,96.8,8
90501,Los Angeles,0.0866,0.0129,0.012210796915167,122.1,6
90502,Los Angeles,0.0941,0.016,0.0129589632829373,46.8,6
90503,Los Angeles,0.071,0.0095,0.0024831500532103,44.2,8
90504,Los Angeles,0.0775,0.0106,0.0026401810409856,39.7,7
90505,Los Angeles,0.0833,0.0105,0.0021876799078871,70.7,8
90601,Los Angeles,0.0938,0.0171,0.0386382058902999,566.1,6
90602,Los Angeles,0.0996,0.0159,0.0320427236315086,243.5,5
90603,Los Angeles,0.0773,0.0122,0.0082505472301734,134.9,8
90604,Los Angeles,0.0881,0.012,0.0116423646433819,108.6,7
90605,Los Angeles,0.0894,0.0183,0.025958110516934,277.5,7
90606,Los Angeles,0.0855,0.0199,0.0290852887452578,161.6,6
90620,Orange,0.097,0.0178,0.0023210141046241,81.4,7
90621,Orange,0.1265,0.018,0.0064870259481037,79.0,6
90623,Orange,0.0824,0.0099,0.0020607934054611,25.8,8
90630,Orange,0.0945,0.012,0.0023527282598859,71.6,8
90631,Orange,0.1032,0.0191,0.022939120302942,825.0,8
90638,Los Angeles,0.0912,0.0128,0.0061221201868857,138.9,7
90640,Los Angeles,0.0811,0.0159,0.0289045187397629,345.8,4
90650,Los Angeles,0.0878,0.0154,0.0194898821657634,340.7,7
90660,Los Angeles,0.0833,0.0174,0.0309158530915853,325.2,5
90670,Los Angeles,0.0941,0.0147,0.0144927536231884,43.7,5
90680,Orange,0.1224,0.0243,0.0029915692140331,46.5,4
90701,Los Angeles,0.0874,0.0158,0.0186353211009174,49.0,6
90703,Los Angeles,0.0791,0.0102,0.0043762053107847,151.0,9
90704,Los Angeles,0.137,0.0415,0.4266666666666667,332.5,6
90706,Los Angeles,0.0886,0.012,0.0182656053623795,290.0,4
90710,Los Angeles,0.0959,0.015,0.0137398024903392,100.7,5
90712,Los Angeles,0.0833,0.0128,0.004375,57.3,8
90713,Los Angeles,0.08,0.0091,0.0026156099602427,34.2,9
90715,Los Angeles,0.0906,0.0107,0.0199453551912568,57.5,6
90716,Los Angeles,0.0838,0.0227,0.0423280423280423,47.5,4
90717,Los Angeles,0.0914,0.0124,0.0123243243243243,58.2,6
90720,Orange,0.0901,0.011,0.0011651131824234,30.7,9
90723,Los Angeles,0.0895,0.0197,0.0433738556205913,227.3,3
90731,Los Angeles,0.0963,0.0129,0.021805370405637,231.2,4
90732,Los Angeles,0.0822,0.0116,0.0033945686900958,63.5,8
90740,Orange,0.1029,0.0054,0.0018259281801582,33.9,7
90742,Orange,0.145,0.027,0.0060240963855421,12.1,8
90743,Orange,0.1486,0.0245,0.0178571428571428,3.6,8
90744,Los Angeles,0.0806,0.0137,0.0460678751533324,205.7,3
90745,Los Angeles,0.0865,0.0131,0.0156495971849245,159.6,7
90746,Los Angeles,0.0876,0.021,0.021636615811373,222.3,7
90755,Los Angeles,0.0938,0.0112,0.0163755458515283,33.8,6
90802,Los Angeles,0.136,0.0098,0.0260831122900088,98.8,4
90803,Los Angeles,0.099,0.0092,0.0036750728678241,112.0,7
90804,Los Angeles,0.1058,0.012,0.0257775884107371,99.7,4
90805,Los Angeles,0.0886,0.0179,0.0314105096799683,364.6,4
90806,Los Angeles,0.0839,0.0149,0.0338607594936708,186.0,4
90807,Los Angeles,0.0826,0.0095,0.0065595716198125,85.5,7
90808,Los Angeles,0.0796,0.0082,0.0016263768758778,48.7,9
90810,Los Angeles,0.0799,0.0176,0.0283132530120481,150.6,5
90813,Los Angeles,0.1033,0.0182,0.0584521861117605,237.5,1
90814,Los Angeles,0.0893,0.0109,0.0077659849857623,65.4,7
90815,Los Angeles,0.0838,0.0096,0.0010776829815895,40.6,8
91001,Los Angeles,0.0835,0.0239,0.0646057658909343,1089.9,9
91006,Los Angeles,0.0975,0.0158,0.019872813990461,773.3,9
91007,Los Angeles,0.0954,0.0116,0.0137495956001294,404.9,7
91008,Los Angeles,0.1054,0.0383,0.2737127371273712,269.1,9
91010,Los Angeles,0.081,0.0229,0.0309541150764748,271.0,7
91011,Los Angeles,0.0919,0.0268,0.0721571015375247,2027.5,10
91016,Los Angeles,0.0853,0.0156,0.034229576008273,679.1,7
91020,Los Angeles,0.0939,0.0115,0.0293417922283901,73.1,4
91024,Los Angeles,0.0922,0.0199,0.0933562428407789,529.1,9
91030,Los Angeles,0.0803,0.0143,0.0268156424581005,348.3,9
91040,Los Angeles,0.1079,0.0295,0.0804110259337791,940.2,7
91042,Los Angeles,0.1061,0.0252,0.1114889841786189,1107.4,5
91101,Los Angeles,0.1132,0.0113,0.0570430733410943,52.6,6
