year,segment,avg_premium,rate_per_1000
2020,FAIR Plan,1570,3.64
2020,Homeowners (voluntary),1316,2.47
2020,Dwelling Fire (all),645,1.77
2021,FAIR Plan,2137,4.2
2021,Homeowners (voluntary),1413,2.52
2021,Dwelling Fire (all),782,1.95
2022,FAIR Plan,2449,4.14
2022,Homeowners (voluntary),1607,2.72
2022,Dwelling Fire (all),941,2.18
2023,FAIR Plan,2604,2.84
2023,Homeowners (voluntary),1779,2.82
2023,Dwelling Fire (all),1092,2.12
2024,FAIR Plan,3068,3.94
2024,Homeowners (voluntary),1968,3.04
2024,Dwelling Fire (all),1469,2.77
