income_decile,cost,benefit,net,cost_millions,benefit_millions,net_millions
1,4600290.831400657,10480249.439112974,5879958.607712318,4.6,10.48,5.88
2,13674718.269318508,23833860.67544141,10159142.406122904,13.67,23.83,10.16
3,23995033.587502617,25059510.43522469,1064476.8477220736,24.0,25.06,1.06
4,29190634.262238532,37515938.65595697,8325304.393718438,29.19,37.52,8.33
5,38789530.84600376,50869283.28350808,12079752.437504314,38.79,50.87,12.08
6,45486717.53515574,56374064.90225297,10887347.367097229,45.49,56.37,10.89
7,64941134.94523183,52228086.59489014,-12713048.350341698,64.94,52.23,-12.71
8,72390412.13185668,63088617.74345208,-9301794.388404608,72.39,63.09,-9.3
9,92401824.1319337,79331124.01448596,-13070700.117447753,92.4,79.33,-13.07
10,114529703.45935796,101219264.25567472,-13310439.20368323,114.53,101.22,-13.31
